County,1980_pop,1990_pop,2000_pop,2010_pop,2020_pop,Median_Household_Income,Unemployment_Rate,Urban_Percent,Rural_Percent,40_year_growth,30_year_growth,20_year_growth,10_year_growth,Growth_Rank,Urban_Rank
Hancock,13833,12638,12100,11341,10795,82196,2.1,0.00%,100.00%,-21.96197498734909,-14.583003639816427,-10.78512396694215,-4.814390265408694,79,63
Hardin,21776,19094,18812,17534,16878,80857,3.5,30.00%,70.00%,-22.492652461425422,-11.605740023043888,-10.280671911545822,-3.741302612067982,67,57
Harrison,16348,14730,15666,14928,14582,89443,2.7,0.00%,100.00%,-10.802544653780279,-1.0047522063815344,-6.919443380569386,-2.317792068595927,52,63
Henry,18890,19226,20336,20145,20482,80893,2.7,45.30%,54.70%,8.427739544732663,6.53282013939457,0.7179386309992132,1.6728716803176966,23,39
Howard,11114,9809,9932,9566,9469,81250,1.5,0.00%,100.00%,-14.801151700557854,-3.466204506065858,-4.661699556987515,-1.014007944804516,36,63
Humboldt,12246,10756,10381,9815,9597,81036,2.5,55.60%,44.40%,-21.63155316021558,-10.77538118259576,-7.552258934592043,-2.221090168110036,51,27
Ida,8908,8365,7837,7089,7005,80050,2.0,0.00%,100.00%,-21.36281993713516,-16.25821876867902,-10.616307260431288,-1.184934405416843,37,63
Iowa,15429,14630,15671,16355,16662,90301,3.2,0.00%,100.00%,7.991444682092164,13.889268626110733,6.323782783485419,1.8771018037297464,22,63
Jackson,22503,19950,20296,19848,19485,85615,4.2,31.30%,68.70%,-13.411545127316357,-2.330827067669173,-3.9958612534489553,-1.828899637243047,44,52
Jasper,36425,34795,37213,36842,37813,81606,4.8,42.20%,57.80%,3.810569663692519,8.673660008621928,1.6123397737349852,2.635578958797025,21,42
Jefferson,16316,16310,16181,16843,15663,68298,5.2,58.80%,41.20%,-4.002206423142927,-3.9668914776210915,-3.201285458253507,-7.005877812741199,93,23
Johnson,81717,96119,111006,130882,152854,112575,3.8,83.30%,16.70%,87.05287761420513,59.02579094663907,37.69886312451579,16.787640775660517,2,6
Jones,20401,19444,20221,20638,20646,88862,3.1,26.20%,73.80%,1.2009215234547326,6.181855585270521,2.1017753820285843,0.03876344607035566,30,59
Keokuk,12921,11624,11400,10511,10033,77740,3.6,0.00%,100.00%,-22.351211206562958,-13.687198898830008,-11.991228070175438,-4.5476167824184195,76,63
Kossuth,21891,18591,17163,15543,14828,80048,3.8,36.70%,63.30%,-32.26440089534512,-20.24097681673928,-13.604847637359436,-4.600141542816702,77,47
Lee,43106,38687,38052,35862,33555,75154,4.6,59.10%,40.90%,-22.157008305108338,-13.265438002429757,-11.818038473667611,-6.432993140371424,90,22
Linn,169775,168767,191701,211226,230299,96369,3.8,86.30%,13.70%,35.64953615078781,36.459734426754046,20.134480258318945,9.029664908676015,6,4
Louisa,12055,11592,12183,11387,10837,83792,4.4,0.00%,100.00%,-10.103691414350893,-6.513112491373361,-11.048181892801445,-4.8300693773601475,80,63
Lucas,10313,9070,9422,8898,8634,77927,3.9,0.00%,100.00%,-16.280422767380976,-4.807056229327453,-8.363404797282953,-2.9669588671611598,56,63
Lyon,12896,11952,11763,11581,11934,86215,2.4,0.00%,100.00%,-7.459677419354839,-0.15060240963855423,1.4537107880642692,3.048096019342026,16,63
Madison,12597,12483,14019,15679,16548,105706,2.3,30.70%,69.30%,31.364610621576567,32.56428743090603,18.039803124331264,5.542445309012054,11,53
Mahaska,22867,21522,22335,22381,22190,81257,3.3,56.50%,43.50%,-2.960598242008134,3.1038007620109656,-0.6492052831878218,-0.8534024395692775,34,26
Marion,29669,30001,32052,33309,33414,90188,2.3,53.00%,47.00%,12.622602716640262,11.376287457084763,4.249344814676151,0.3152301179861299,28,30
Marshall,41652,38276,39311,40648,40105,85665,5.6,68.30%,31.70%,-3.714107365792759,4.778451248824329,2.0197908982218715,-1.3358590828577053,39,15
Mills,13406,13202,14547,15059,14484,100809,4.4,34.60%,65.40%,8.041175593018052,9.710649901530072,-0.4330789853578057,-3.8183146291254397,69,50
Mitchell,12329,10928,10874,10776,10565,88707,0.9,0.00%,100.00%,-14.307729742882636,-3.3217423133235724,-2.8416406106308627,-1.9580549368968077,48,63
Monona,11692,10034,10020,9243,8751,76144,2.6,0.00%,100.00%,-25.153951419774206,-12.78652581223839,-12.664670658682633,-5.322947095098994,84,63
Monroe,9209,8114,8016,7970,7577,89814,3.4,0.00%,100.00%,-17.721793897274406,-6.6181907813655405,-5.476546906187624,-4.9309912170639905,82,63
Montgomery,13413,12076,11771,10740,10330,75911,4.5,53.40%,46.60%,-22.985163647207933,-14.458429943689962,-12.241950556452299,-3.8175046554934826,68,29
Muscatine,40436,39907,41722,42745,43235,82076,3.5,58.20%,41.80%,6.922049658719953,8.339389079610093,3.626384161833086,1.146332904433267,26,24
O'Brien,16972,15444,15102,14398,14182,89832,2.4,36.20%,63.80%,-16.438840443082725,-8.171458171458172,-6.091908356509071,-1.500208362272538,40,49
Osceola,8371,7267,7003,6462,6192,80396,4.5,0.00%,100.00%,-26.03034285031657,-14.792899408284024,-11.58075110666857,-4.178272980501393,72,63
